reino,nombre científico,Nombe Completo,vernacular_name,Estatus_RD
Animalia,Anas strepera,Anas strepera,nade Friso,MIGRATORIA (M)                
Animalia,Anas acuta,Anas acuta,Pato pescuecilargo,MIGRATORIA (M)                
Animalia,Anas bahamensis,Anas bahamensis,Pato de la orilla,RESIDENTE PERMANENTE (RP)     
Animalia,Anas crecca,Anas crecca,Pato serrano,MIGRATORIA (M)                
Animalia,Anas discors,Anas discors,Pato de la Florida,MIGRATORIA (M)                
Animalia,Anas cyanoptera,Anas cyanoptera,Pato colorado,MIGRATORIA (M)                
Animalia,Anas penelope,Anas penelope,nade Silbn,MIGRATORIA (M)                
Animalia,Anas americana,Anas americana,Pato cabecilargo,MIGRATORIA (M)                
Animalia,Anas clypeata,Anas clypeata,Pato cuchareta,MIGRATORIA (M)                
Animalia,Aix sponsa,Aix sponsa,Huyuyo,MIGRATORIA (M)                
Animalia,Aythya americana,Aythya americana,Pato cabeza roja,MIGRATORIA (M)                
Animalia,Aythya collaris,Aythya collaris,Pato negro,MIGRATORIA (M)                
Animalia,Aythya valisineria,Aythya valisineria,Pato de lomo blanco,MIGRATORIA (M)                
Animalia,Aythya affinis,Aythya affinis,Pato turco,MIGRATORIA (M)                
Animalia,Oxyura jamaicensis,Oxyura jamaicensis,Pato espinoso,RESIDENTE PERMANENTE (RP)     
Animalia,Lophodytes cucullatus,Lophodytes cucullatus,Pato de Cresta,MIGRATORIA (M)                
Animalia,Mergus serrator,Mergus serrator,Pato frente roja,MIGRATORIA (M)                
Animalia,Cathartes aura,Cathartes aura,"Aura tiosa,Maura",INTRODUCIDA (I)               
Animalia,Elanoides forficatus,Elanoides forficatus,Gaviln tijereta,MIGRATORIA (M)                
Animalia,Accipiter striatus,Accipiter striatus,Guaraguaito de sierra,RESIDENTE PERMANENTE (RP)     
Animalia,Buteo jamaicensis,Buteo jamaicensis,Guaraguao,RESIDENTE PERMANENTE (RP)     
Animalia,Buteo platypterus,Buteo platypterus,Gaviln bobo,PASAJERA(P)                   
Animalia,Buteo swainsoni,Buteo swainsoni,Gaviln de Swainsoni,ENDEMICA (E)                  
Animalia,Buteo ridgwayi,Buteo ridgwayi,Gaviln de la Hispaniola,ENDEMICA (E)                  
Animalia,Circus cyaneus,Circus cyaneus,Gaviln sabanero,MIGRATORIA (M)                
Animalia,Pandion haliaetus,Pandion haliaetus,Guincho,MIGRATORIA (M)                
Animalia,Falco peregrinus,Falco peregrinus,Halcn de patos,MIGRATORIA (M)                
Animalia,Falco columbarius,Falco columbarius,"Halcn, Halconcito",MIGRATORIA (M)                
Animalia,Falco sparverius,Falco sparverius,"Cuyaya, Cerncalo",RESIDENTE PERMANENTE (RP)     
Animalia,Colinus virginianus,Colinus virginianus,Codorniz,INTRODUCIDA (I)               
