reino,nombre científico,Nombe Completo,vernacular_name,Estatus_RD
Animalia,Gymnophthalmus underwoodi,Gymnophthalmus underwoodi,Lagarto gusano de escamas lisas,INTRODUCIDA (I)               
Animalia,Eleutherodactylus abbotti,Eleutherodactylus abbotti,Calcali,ENDEMICA (E)                  
Animalia,Eleutherodactylus armstrongi,Eleutherodactylus armstrongi,Rana martillo de Bahoruco,ENDEMICA (E)                  
Animalia,Eleutherodactylus audanti,Eleutherodactylus audanti,Rana telgrafo de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus bakeri,Eleutherodactylus bakeri,Rana de la Hotte,ENDEMICA (E)                  
Animalia,Eleutherodactylus brevirostris,Eleutherodactylus brevirostris,Rana verde de hocico corto,ENDEMICA (E)                  
Animalia,Eleutherodactylus counouspeus,Eleutherodactylus counouspeus,Rana amarilla caverncola,ENDEMICA (E)                  
Animalia,Eleutherodactylus flavescens,Eleutherodactylus flavescens,Rana amarilla de dedos hendidos,ENDEMICA (E)                  
Animalia,Eleutherodactylus furcyensis,Eleutherodactylus furcyensis,Rana patas rojas de La Selle,ENDEMICA (E)                  
Animalia,Eleutherodactylus glandulifer,Eleutherodactylus glandulifer,Rana con glndulas de la Hotte,ENDEMICA (E)                  
Animalia,Eleutherodactylus glanduliferoides,Eleutherodactylus glanduliferoides,Rana de la hierba de la Selle,ENDEMICA (E)                  
Animalia,Eleutherodactylus haitianus,Eleutherodactylus haitianus,Rana grillo de la montaa,ENDEMICA (E)                  
Animalia,Eleutherodactylus hypostenor,Eleutherodactylus hypostenor,Rana excavadora de Bahoruco,ENDEMICA (E)                  
Animalia,Eleutherodactylus inoptatus,Eleutherodactylus inoptatus,Rana gigante de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus jugans,Eleutherodactylus jugans,Rana marrn de La Selle,ENDEMICA (E)                  
Animalia,Eleutherodactylus leoncei,Eleutherodactylus leoncei,Rana pastel del Sur,ENDEMICA (E)                  
Animalia,Eleutherodactylus minutus,Eleutherodactylus minutus,Rana sollozante de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus montanus,Eleutherodactylus montanus,Rana de las montaas de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus oxyrhynchus,Eleutherodactylus oxyrhynchus,Rana de hocico afilado de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus parabates,Eleutherodactylus parabates,Rana silbadora de Neiba,ENDEMICA (E)                  
Animalia,Eleutherodactylus patriciae,Eleutherodactylus patriciae,Rana de la Cordillera de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus paulsoni,Eleutherodactylus paulsoni,Rana de rabadilla rosada de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus pictissimus,Eleutherodactylus pictissimus,Rana de motas amarillas de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus pituinus,Eleutherodactylus pituinus,Rana melodiosa de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus poolei,Eleutherodactylus poolei,Rana citadina ,ENDEMICA (E)                  
Animalia,Eleutherodactylus rufifemoralis,Eleutherodactylus rufifemoralis,Rana de patas rojas de Bahoruco,ENDEMICA (E)                  
Animalia,Eleutherodactylus ruthae,Eleutherodactylus ruthae,Rana excavadora oriental,ENDEMICA (E)                  
Animalia,Eleutherodactylus schmidti,Eleutherodactylus schmidti,Rana de los arroyos del norte,ENDEMICA (E)                  
Animalia,Eleutherodactylus semipalmatus,Eleutherodactylus semipalmatus,Rana de los arroyos de Tiburn ,ENDEMICA (E)                  
Animalia,Eleutherodactylus ventrilineatus,Eleutherodactylus ventrilineatus,Rana oscura Macaya,ENDEMICA (E)                  
Animalia,Eleutherodactylus weinlandi,Eleutherodactylus weinlandi,Rana de rabadilla roja de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus wetmorei,Eleutherodactylus wetmorei,Rana silbadora de Haiti,ENDEMICA (E)                  
Animalia,Anolis chlorocyanus,Anolis chlorocyanus,Anolis verde del Norte,ENDEMICA (E)                  
Animalia,Peltophryne guentheri,Peltophryne guentheri,Sapo crestado sureo,ENDEMICA (E)                  
Animalia,Trachemys stejnegeri,Trachemys stejnegeri,Jicotea nortea,ENDEMICA (E)                  
Animalia,Trachemys decorata,Trachemys decorata,Jicotea surea,ENDEMICA (E)                  
Animalia,Nesoctites micromegas,Nesoctites micromegas,Carpintero de sierra,ENDEMICA (E)                  
Animalia,Melanerpes striatus,Melanerpes striatus,Carpintero,ENDEMICA (E)                  
Animalia,Ardea alba,Ardea alba,Garza real,RESIDENTE PERMANENTE (RP)     
Animalia,Calidris himantopus,Calidris himantopus,Playerito pata larga,MIGRATORIA (M)                
Animalia,Catharus bicknelli,Catharus bicknelli,Zorzal migratorio,MIGRATORIA (M)                
Animalia,Contopus hispaniolensis,Contopus hispaniolensis,Maroita,ENDEMICA (E)                  
Animalia,Nomonyx dominicus,Nomonyx dominicus,Pato criollo,RESIDENTE PERMANENTE (RP)     
Animalia,Phalacrocorax brasilianus,Phalacrocorax brasilianus,Corua de mar ,PASAJERA(P)                   
Animalia,Rynchops niger,Rynchops niger,Pico de tijera,MIGRATORIA (M)                
Animalia,Priotelus roseigaster,Priotelus roseigaster,Papagayo,ENDEMICA (E)                  
Animalia,Todus angustirostris,Todus angustirostris,Chi-cu,ENDEMICA (E)                  
Animalia,Todus subulatus,Todus subulatus,Barrancol,ENDEMICA (E)                  
Animalia,Hyetornis rufigularis,Hyetornis rufigularis,Ca,ENDEMICA (E)                  
Animalia,Chlorostilbon swainsonii,Chlorostilbon swainsonii,Zumbador verde,ENDEMICA (E)                  
Animalia,Mellisuga minima,Mellisuga minima,Zumbadorcito,RESIDENTE PERMANENTE (RP)     
Animalia,Tyto glaucops,Tyto glaucops,Lechuza cara ceniza,ENDEMICA (E)                  
Animalia,Asio stygius,Asio stygius,Lechuza orejita,RESIDENTE PERMANENTE (RP)     
Animalia,Nyctibius jamaicensis,Nyctibius jamaicensis,"Don Juan grande, Bruja",RESIDENTE PERMANENTE (RP)     
Animalia,Siphonorhis brewsteri,Siphonorhis brewsteri,Torico,ENDEMICA (E)                  
Animalia,Calyptophilus frugivorus,Calyptophilus frugivorus,Patico chirr,ENDEMICA (E)                  
Animalia,Calyptophilus tertius,Calyptophilus tertius,Chirr de Bahorucos,ENDEMICA (E)                  
Animalia,Carduelis dominicensis,Carduelis dominicensis,Canario,ENDEMICA (E)                  
Animalia,Corvus palmarum,Corvus palmarum,Cao,ENDEMICA (E)                  
Animalia,Dulus dominicus,Dulus dominicus,Cigua palmera,ENDEMICA (E)                  
Animalia,Elaenia fallax,Elaenia fallax,Maroita canosa,RESIDENTE PERMANENTE (RP)     
Animalia,Loxia megaplaga,Loxia megaplaga,Pico cruzado,ENDEMICA (E)                  
Animalia,Loxigilla violacea,Loxigilla violacea,Gallito prieto,RESIDENTE PERMANENTE (RP)     
Animalia,Microligea palustris,Microligea palustris,Cigita cola verde,ENDEMICA (E)                  
Animalia,Myadestes genibarbis,Myadestes genibarbis,Jilguero,RESIDENTE PERMANENTE (RP)     
Animalia,Myiarchus stolidus,Myiarchus stolidus,Manuelito,RESIDENTE PERMANENTE (RP)     
Animalia,Phaenicophilus palmarum,Phaenicophilus palmarum,Cuatro ojos,ENDEMICA (E)                  
Animalia,Phaenicophilus poliocephalus,Phaenicophilus poliocephalus,Cuatro ojos cabeza gris,ENDEMICA (E)                  
Animalia,Ploceus cucullatus,Ploceus cucullatus,"Madam sag, Chichiguao",INTRODUCIDA (I)               
Animalia,Tachycineta euchrysea,Tachycineta euchrysea,Golondrina verde,ENDEMICA (E)                  
Animalia,Turdus swalesi,Turdus swalesi,Zorzal de LaSelle,ENDEMICA (E)                  
Animalia,Vireo nanus,Vireo nanus,Ciguita Juliana,ENDEMICA (E)                  
Animalia,Xenoligea montana,Xenoligea montana,Cigita aliblanca,ENDEMICA (E)                  
Animalia,Zonotrichia capensis,Zonotrichia capensis,Cigua de Constanza,RESIDENTE PERMANENTE (RP)     
Animalia,Celestus costatus,Celestus costatus,Lucia lisa de la Hispaniola,ENDEMICA (E)                  
Animalia,Ischnura capreolus,Ischnura capreolus,Caballito,NO DEFINIDO                   
Animalia,Typhlops pusillus,Typhlops pusillus,Culebra ciega comn de La Hispaniola,NO DEFINIDO                   
Animalia,Epicrates fordii,Epicrates fordii,Boa del desierto de la Hispaniola,ENDEMICA (E)                  
Animalia,Epicrates gracilis,Epicrates gracilis,Boa esbelta de la Hispaniola,ENDEMICA (E)                  
Animalia,Epicrates striatus,Epicrates striatus,Boa de la Hispaniola,NATIVA (N)                    
Animalia,Tropidophis haetianus,Tropidophis haetianus,Trope de la Hispaniola,ENDEMICA (E)                  
Animalia,Nandopsis haitiensis,Nandopsis haitiensis,"Cichlasoma, biajaca",NO DEFINIDO                   
Animalia,Osteopilus dominicensis,Osteopilus dominicensis,Rana arborcola reidora de la Hispaniola,ENDEMICA (E)                  
Animalia,Osteopilus pulchrilineatus,Osteopilus pulchrilineatus,Rana arborcola amarilla de la Hispaniola,ENDEMICA (E)                  
Animalia,Osteopilus vastus,Osteopilus vastus,Rana arborcola gigante de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus alcoae,Eleutherodactylus alcoae,Rana de las rocas de Barahona,ENDEMICA (E)                  
Animalia,Eleutherodactylus amadeus,Eleutherodactylus amadeus,Rana de Mozart,ENDEMICA (E)                  
Animalia,Eleutherodactylus apostates,Eleutherodactylus apostates,Rana de patas grandes de la Hotte,ENDEMICA (E)                  
Animalia,Eleutherodactylus auriculatoides,Eleutherodactylus auriculatoides,Rana martillo del Norte,ENDEMICA (E)                  
Animalia,Eleutherodactylus caribe,Eleutherodactylus caribe,Rana de los manglares,ENDEMICA (E)                  
Animalia,Eleutherodactylus chlorophenax,Eleutherodactylus chlorophenax,Rana gigante de la Hotte,ENDEMICA (E)                  
Animalia,Eleutherodactylus corona,Eleutherodactylus corona,Rana coronada de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus darlingtoni,Eleutherodactylus darlingtoni,Rana de patas largas de la Selle,ENDEMICA (E)                  
Animalia,Eleutherodactylus dolomedes,Eleutherodactylus dolomedes,Rana ventrlocua de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus eunaster,Eleutherodactylus eunaster,Rana silvadora de la Hotte,ENDEMICA (E)                  
Animalia,Eleutherodactylus fowleri,Eleutherodactylus fowleri,Rana khaki de las bromelias,ENDEMICA (E)                  
Animalia,Eleutherodactylus glaphycompus,Eleutherodactylus glaphycompus,Rana con bolas,ENDEMICA (E)                  
Animalia,Eleutherodactylus grahami,Eleutherodactylus grahami,Rana de chevrones amarillos,ENDEMICA (E)                  
Animalia,Eleutherodactylus heminota,Eleutherodactylus heminota,Rana de media lnea de las bromelias,ENDEMICA (E)                  
Animalia,Eleutherodactylus lamprotes,Eleutherodactylus lamprotes,Rana de patas naranjas de la Hispaniola,ENDEMICA (E)                  
Animalia,Eleutherodactylus lucioi,Eleutherodactylus lucioi,Rana plida de la rocas,ENDEMICA (E)                  
Animalia,Eleutherodactylus nortoni,Eleutherodactylus nortoni,Rana verde espinosa,ENDEMICA (E)                  
Animalia,Eleutherodactylus parapelates,Eleutherodactylus parapelates,Rana excavadora Macaya,ENDEMICA (E)                  
Animalia,Eleutherodactylus probolaeus,Eleutherodactylus probolaeus,Rana de Boca de Yuma,ENDEMICA (E)                  
Animalia,Eleutherodactylus rhodesi,Eleutherodactylus rhodesi,Rana de Port-de-Paix,ENDEMICA (E)                  
Animalia,Eleutherodactylus sciagraphus,Eleutherodactylus sciagraphus,Rana de patas rayadas de la Hotte,ENDEMICA (E)                  
Animalia,Eleutherodactylus thorectes,Eleutherodactylus thorectes,Rana de pecho manchado Macaya,ENDEMICA (E)                  
Animalia,Eleutherodactylus warreni,Eleutherodactylus warreni,Rana de Tortue,ENDEMICA (E)                  
Animalia,Geotrygon leucometopia,Geotrygon leucometopia,Perdiz coquito blanco,ENDEMICA (E)                  
Animalia,Patagioenas inornata,Patagioenas inornata,Paloma ceniza,RESIDENTE PERMANENTE (RP)     
Animalia,Patagioenas leucocephala,Patagioenas leucocephala,Paloma coronita,RESIDENTE PERMANENTE (RP)     
Animalia,Patagioenas squamosa,Patagioenas squamosa,Paloma turca ,RESIDENTE PERMANENTE (RP)     
Animalia,Leiocephalus personatus,Leiocephalus personatus,Leiocefalo con mscara de la Hispaniola,ENDEMICA (E)                  
Animalia,Tropidophis bucculentus,Tropidophis bucculentus,Trope de Navassa,ENDEMICA (E)                  
Animalia,Celestus badius,Celestus badius,Lucia de Navassa,ENDEMICA (E)                  
Animalia,Hypsirhynchus ferox,Hypsirhynchus ferox,Corredora hocico de cerdo comn,ENDEMICA (E)                  
Animalia,Ialtris agyrtes,Ialtris agyrtes,Corredora del desierto del sur,ENDEMICA (E)                  
Animalia,Ialtris dorsalis,Ialtris dorsalis,Corredora cabeza W,ENDEMICA (E)                  
Animalia,Ialtris parishi,Ialtris parishi,Corredora con bandas de Tiburn,ENDEMICA (E)                  
Animalia,Uromacer catesbyi,Uromacer catesbyi,Culebra arborcola verde cabeza roma,ENDEMICA (E)                  
Animalia,Uromacer frenatus,Uromacer frenatus,Culebra de las vias de hocico pronunciado,ENDEMICA (E)                  
Animalia,Pyrgus oileus,Pyrgus oileus,Saltarn tropical,NO DEFINIDO                   
Animalia,Porphyrio martinica,Porphyrio martinica,Gallareta pico azul,RESIDENTE PERMANENTE (RP)     
Animalia,Gallinago delicata,Gallinago delicata,Becacina,MIGRATORIA (M)                
Animalia,Spindalis dominicensis,Spindalis dominicensis,Cigua amarilla,ENDEMICA (E)                  
Animalia,Passerina caerulea,Passerina caerulea,Azulejn,MIGRATORIA (M)                
Animalia,Seiurus aurocapilla,Seiurus aurocapilla,Ciguita saltarina,NO DEFINIDO                   
Animalia,Peltophryne fluviatica,Peltophryne fluviatica,Sapo sin crestas de la Hispaniola,ENDEMICA (E)                  
Animalia,Peltophryne fracta,Peltophryne fracta,Sapo crestado oriental,ENDEMICA (E)                  
Animalia,Rhinella marina,Rhinella marina,Maco pempen,INTRODUCIDA (I)               
Animalia,Eleutherodactylus aporostegus,Eleutherodactylus aporostegus,Rana excavadora de Tiburn ,ENDEMICA (E)                  
Animalia,Eleutherodactylus bothroboans,Eleutherodactylus bothroboans,Rana excavadora de Jarabacoa,ENDEMICA (E)                  
Animalia,Eleutherodactylus diplasius,Eleutherodactylus diplasius,Rana silvadora estampada,ENDEMICA (E)                  
Animalia,Eleutherodactylus limbensis,Eleutherodactylus limbensis,Rana de la ladera de arroyos Haitiana,ENDEMICA (E)                  
Animalia,Eleutherodactylus notidodes,Eleutherodactylus notidodes,Rana telgrafo de Neiba,ENDEMICA (E)                  
Animalia,Eleutherodactylus paralius,Eleutherodactylus paralius,Rana de grupas rojas costera,ENDEMICA (E)                  
Animalia,Eleutherodactylus rucillensis,Eleutherodactylus rucillensis,Rana de los arroyos de la Rucilla,ENDEMICA (E)                  
Animalia,Eleutherodactylus sommeri,Eleutherodactylus sommeri,Rana silbadora del Massif du Nord,ENDEMICA (E)                  
Animalia,Eleutherodactylus tychathrous,Eleutherodactylus tychathrous,Rana excavadora de Vallejuelo,ENDEMICA (E)                  
Animalia,Hypsiboas heilprini,Hypsiboas heilprini,Rana arborcola verde de la Hispaniola,ENDEMICA (E)                  
Animalia,Battus polydamas,Battus polydamas,Cola de gol. bolo,NO DEFINIDO                   
Animalia,Phoebis sennae,Phoebis sennae,Azufre inmaculada,NO DEFINIDO                   
Animalia,Phoebis agarithe,Phoebis agarithe,Azufre anaranjada,NO DEFINIDO                   
Animalia,Cyclargus ammon,Cyclargus ammon,Azul  ammon,NO DEFINIDO                   
Animalia,Lycorea halia,Lycorea halia cleobaea,Tigre mayor,NO DEFINIDO                   
Animalia,Agraulis vanillae,Agraulis vanillae,Volatinera del golfo,NO DEFINIDO                   
Animalia,Dryas iulia,Dryas iulia,Flama,NO DEFINIDO                   
Animalia,Heliconius charithonia,Heliconius charithonia,Zebra,NO DEFINIDO                   
Animalia,Euptoieta hegesia,Euptoieta hegesia,Volatinera,NO DEFINIDO                   
Animalia,Hamadryas amphichloe,Hamadryas amphichloe,Mrmol haitiano,NO DEFINIDO                   
Animalia,Anartia jatrophae,Anartia jatrophae,Pavn blanco,NO DEFINIDO                   
Animalia,Siproeta stelenes,Siproeta stelenes,Malaquita,NO DEFINIDO                   
Animalia,Aristelliger expectatus,Aristelliger expectatus,Gecko de desierto de la Hispaniola,ENDEMICA (E)                  
Animalia,Aristelliger lar,Aristelliger lar,Gecko gigante de la Hispaniola,ENDEMICA (E)                  
Animalia,Hemidactylus angulatus,Hemidactylus angulatus,Gecko casero de Africa,NO DEFINIDO                   
Animalia,Hemidactylus haitianus,Hemidactylus haitianus,Gecko casero de frica Occidental,INTRODUCIDA (I)               
Animalia,Phyllodactylus hispaniolae,Phyllodactylus hispaniolae,Gecko dedo de hoja dominicano,ENDEMICA (E)                  
Animalia,Phyllodactylus sommeri,Phyllodactylus sommeri,Gecko dedo de hojas Haitiano,ENDEMICA (E)                  
Animalia,Sphaerodactylus altavelensis,Sphaerodactylus altavelensis,Esferodactilo de Alto Velo,ENDEMICA (E)                  
Animalia,Sphaerodactylus ariasae,Sphaerodactylus ariasae,Esferodactilo de Jaragua,ENDEMICA (E)                  
Animalia,Sphaerodactylus armstrongi,Sphaerodactylus armstrongi,Esferodactilo de bosque del sur,ENDEMICA (E)                  
Animalia,Sphaerodactylus asterulus,Sphaerodactylus asterulus,Esferodactilo con puntos Haitiano,ENDEMICA (E)                  
Animalia,Sphaerodactylus callocricus,Sphaerodactylus callocricus,Esferodactilo de bandas estrechas,ENDEMICA (E)                  
Animalia,Sphaerodactylus cinereus,Sphaerodactylus cinereus,Esferodactilo de bandas anchas Haitiano,ENDEMICA (E)                  
Animalia,Sphaerodactylus clenchi,Sphaerodactylus clenchi,Esferodactilo de manchas amarillas,ENDEMICA (E)                  
Animalia,Sphaerodactylus copei,Sphaerodactylus copei,Esferodactilo  de escamas grandes Haitiano,ENDEMICA (E)                  
Animalia,Sphaerodactylus cryphius,Sphaerodactylus cryphius,Esferodactilo pigmeo del desierto,ENDEMICA (E)                  
Animalia,Sphaerodactylus darlingtoni,Sphaerodactylus darlingtoni,Esferodactilo de bosque del Norte,ENDEMICA (E)                  
Animalia,Sphaerodactylus difficilis,Sphaerodactylus difficilis,Esferodactilo con ocelos de la Hispaniola,ENDEMICA (E)                  
Animalia,Sphaerodactylus elasmorhynchus,Sphaerodactylus elasmorhynchus,Esferodactilo hocico de escudo,ENDEMICA (E)                  
Animalia,Sphaerodactylus epiurus,Sphaerodactylus epiurus,Esferodactilo con manchas en la cola  Hisp.,ENDEMICA (E)                  
Animalia,Sphaerodactylus ladae,Sphaerodactylus ladae,Esferodactilo de los agaves manchado,ENDEMICA (E)                  
Animalia,Sphaerodactylus lazelli,Sphaerodactylus lazelli,Esferodactilo de Cabo Haitiano,ENDEMICA (E)                  
Animalia,Sphaerodactylus leucaster,Sphaerodactylus leucaster,Esferodactilo de raya roja,ENDEMICA (E)                  
Animalia,Sphaerodactylus nycteropus,Sphaerodactylus nycteropus,Esferodactilo cabeza aplanada de Hait,ENDEMICA (E)                  
Animalia,Sphaerodactylus ocoae,Sphaerodactylus ocoae,Esferodactilo de Ocoa,ENDEMICA (E)                  
Animalia,Sphaerodactylus omoglaux,Sphaerodactylus omoglaux,Esferodactilo de la Frontera Haitiano,ENDEMICA (E)                  
Animalia,Sphaerodactylus perissodactylius,Sphaerodactylus perissodactylius,Esferodactilo de Martn Garca,ENDEMICA (E)                  
Animalia,Sphaerodactylus plummeri,Sphaerodactylus plummeri,Esferodactilo  escamas grandes Barahona,ENDEMICA (E)                  
Animalia,Sphaerodactylus randi,Sphaerodactylus randi,Esferodactilo pecoso de Barahona,ENDEMICA (E)                  
Animalia,Sphaerodactylus rhabdotus,Sphaerodactylus rhabdotus,Esferodactilo de dos rayas de la Hispaniola,ENDEMICA (E)                  
Animalia,Sphaerodactylus samanensis,Sphaerodactylus samanensis,Esferodactilo con bandas de los Haitises,ENDEMICA (E)                  
Animalia,Sphaerodactylus savagei,Sphaerodactylus savagei,Esferodactilo pecoso de Villa Altagracia,ENDEMICA (E)                  
Animalia,Sphaerodactylus schuberti,Sphaerodactylus schuberti,Esferodactilo de agave de Neiba,ENDEMICA (E)                  
Animalia,Sphaerodactylus shrevei,Sphaerodactylus shrevei,Esferodactilo manchado del Noroeste  Hait,ENDEMICA (E)                  
Animalia,Sphaerodactylus sommeri,Sphaerodactylus sommeri,Esferodactilo con bandas de Noroeste Hait,ENDEMICA (E)                  
Animalia,Sphaerodactylus streptophorus,Sphaerodactylus streptophorus,Esferodactilo de odo pequeo  Hispaniola,ENDEMICA (E)                  
Animalia,Sphaerodactylus williamsi,Sphaerodactylus williamsi,Esferodactilo rayado de Hait,ENDEMICA (E)                  
Animalia,Sphaerodactylus zygaena,Sphaerodactylus zygaena,Esferodactilo de las costas de Tiburn,ENDEMICA (E)                  
Animalia,Onychoprion,Onychoprion,Gaviota monja,MIGRATORIO NIDIFICANTE (MN)   
Animalia,Sternula,Sternula,Gaviotica,RESIDENTE PERMANENTE (RP)     
Animalia,Charadrius nivosus,Charadrius nivosus,Playero corredor,RESIDENTE PERMANENTE (RP)     
Animalia,Thalasseus maximus,Thalasseus maximus,Charran Real,NO DEFINIDO                   
Animalia,Tringa semipalmata,Tringa semipalmata,Chorlo,MIGRATORIO NIDIFICANTE (MN)   
Animalia,Phormictopus cancerides,Phormictopus cancerides,Cacta,NO DEFINIDO                   
Animalia,Peucetia viridans,Peucetia viridans,Araa verde,NO DEFINIDO                   
Animalia, ,Coccyzus longirostris,Pjaro bobo,ENDEMICA (E)                  
Animalia, ,Eleutherodactylus melatriginum,Rana telgrafo de la Cordillera Central,ENDEMICA (E)                  
Animalia, ,Lithobates catesbianus,Rana toro,INTRODUCIDA (I)               
Animalia, ,Oreochromis sp.,Tilapia,NO DEFINIDO                   
Animalia, ,Cyclura ricordi,Iguana ricordii,ENDEMICA (E)                  
Animalia, ,Ameiva lineolata,Ameiva pigmea,NO DEFINIDO                   
Animalia, ,Leiocephalus sp.,,NO DEFINIDO                   
Animalia, ,Sphaerodactylus sp.,Esferodactilo,ENDEMICA (E)                  
Animalia, ,Celestus sp.,,NO DEFINIDO                   
Animalia, ,Anolis semilineatus,Anolis de la hierba de la Hispaniola,ENDEMICA (E)                  
Animalia, ,Calisto confusa,Calisto,NO DEFINIDO                   
Animalia, ,Heraclides machaonidae,Cola de gol. gigante,NO DEFINIDO                   
Animalia, ,Pyrrhocalles antiqua,Saltarn rojizo,NO DEFINIDO                   
Animalia, ,Wallengrenia otho druryi,Saltarn de la caa,NO DEFINIDO                   
Animalia, ,Burca hispaniolae,Saltarn de Hispaniola,NO DEFINIDO                   
Animalia, ,Ephyriades zephodes,Saltarn crepsculo,NO DEFINIDO                   
Animalia, ,Strymon columella,Rabicorta,NO DEFINIDO                   
Animalia, ,Heraclides androgeus,Cola de gol. macan,NO DEFINIDO                   
Animalia, ,Anolis christophei,Anolis del tronco de abanico grande,ENDEMICA (E)                  
Animalia, ,Mabuya lineolata,Escinco rayado de la Hispaniola,ENDEMICA (E)                  
Animalia, ,Leiocephalus semilineatus,,NO DEFINIDO                   
Animalia, ,Hemidactylus sp.,,NO DEFINIDO                   
Animalia, ,Celestus stenurus,,NO DEFINIDO                   
Animalia, ,Celestus sepsoides,,NO DEFINIDO                   
Animalia, ,Celestus anelpistus,,NO DEFINIDO                   
Animalia, ,Anolis shrevei,,NO DEFINIDO                   
Animalia, ,Anolis marcanoi,,NO DEFINIDO                   
Animalia, ,Anolis insolitus,,NO DEFINIDO                   
Animalia, ,Anolis etheridgei,,NO DEFINIDO                   
Animalia, ,Anolis brevirostris,,NO DEFINIDO                   
Animalia, ,Membracidae,Membracido,NO DEFINIDO                   
Animalia, ,Fulgoridae,Salta hojas,NO DEFINIDO                   
Animalia, ,Chrysopa domingensis,Crisopa,NO DEFINIDO                   
Animalia, ,Lampyridae,Luciernaga,NO DEFINIDO                   
Animalia, ,Tenebrionidae,Escarabajo,NO DEFINIDO                   
Animalia, ,Scarabaeidae,Escarabajo,NO DEFINIDO                   
Animalia, ,Cerambycidae,Cuernos largos,NO DEFINIDO                   
Animalia, ,Celestus marcanoi,Lucia del Pico Duarte,NO DEFINIDO                   
Animalia, ,Amphisbaena hyporissor,Anfisbena de barahona,NO DEFINIDO                   
Animalia, ,Polistes sp.,Avispa,NO DEFINIDO                   
Animalia, ,Pepis sp.,Mata cacata,NO DEFINIDO                   
Animalia, ,Apis mellifera,Abeja,NO DEFINIDO                   
Animalia, ,Xylocopa mordax,Abejorro,NO DEFINIDO                   
Animalia, ,Crabronidae sp.,Avispa,NO DEFINIDO                   
Animalia, ,Formicidae sp.,Hormiga,NO DEFINIDO                   
Animalia, ,Sphecidae sp.,Avispa,NO DEFINIDO                   
Animalia, ,Halictidae sp.,Avispa,NO DEFINIDO                   
Animalia, ,Ctenidae sp.,Araa,NO DEFINIDO                   
Animalia, ,Gasteracantha cacriformis,Araa,NO DEFINIDO                   
Animalia, ,Salticidae sp.,Araa,NO DEFINIDO                   
Animalia, ,Pholcidae sp.,Araa,NO DEFINIDO                   
Animalia, ,Selenopidae sp.,Araa,NO DEFINIDO                   
Animalia, ,Thelyphonidae sp.,Vinagrillo,NO DEFINIDO                   
Animalia, ,Callinectes sp.,Jaiba,NO DEFINIDO                   
Animalia, ,Uca sp.,Violinista,NO DEFINIDO                   
Animalia, ,Scolopendridae sp.,Cien pies,NO DEFINIDO                   
Animalia, ,Amblytropidia sp.,Esperanza,NO DEFINIDO                   
Animalia, ,Drosophilidae sp.,Mosca,NO DEFINIDO                   
Animalia, ,ASILIDAE SP.,MOSCA CAZADORA,NO DEFINIDO                   
Animalia, ,TACHINIDAE SP.,MOSCA,NO DEFINIDO                   
Animalia, ,MICROPEZIDAE SP.,MOSCA,NO DEFINIDO                   
Animalia, ,DILOCHOPODIDAE SP.,MOSCA,NO DEFINIDO                   
Animalia, ,Tachornis phoenicobia,Vencejo de palmar,NO DEFINIDO                   
Animalia, ,Ameiva chrysolaema,Ameiva gigante de la Hispaniola,NO DEFINIDO                   
Animalia, ,Uromacer sp.,Culebra verde,NO DEFINIDO                   
Animalia, ,Hypsirhynchus parvifrons,Corredora menor de La Hispaniola,NO DEFINIDO                   
Animalia, ,Anolis baleatus,Anolis gigante dominicano,NO DEFINIDO                   
Animalia, ,Dulus dominicus 2,Cigua Palmera 2,NO DEFINIDO                   
Animalia, ,Orphulella punctata,Saltamontes,NO DEFINIDO                   
Animalia, ,Libellulidae sp.,Libelula,NO DEFINIDO                   
Animalia, ,Gomphidae sp.,Libelula,NO DEFINIDO                   
Animalia, ,Gryllidae sp.,Grillo,NO DEFINIDO                   
Animalia, ,Conocephalus sp.,Esperanza,NO DEFINIDO                   
Animalia, ,Callimantis antillarum,Mantis,NO DEFINIDO                   
Animalia, ,Epilampra haitensis,Cucaracha,NO DEFINIDO                   
Animalia, ,Blattellidae sp.,Cucaracha,NO DEFINIDO                   
Animalia, ,Blattidae sp.,Cucaracha,NO DEFINIDO                   
Animalia, ,Reduviidae sp.,Chinche,NO DEFINIDO                   
Animalia, ,Pyrrochoridae sp.,Chinche,NO DEFINIDO                   
Animalia, ,Coreidae sp.,Chinche,NO DEFINIDO                   
Animalia, ,Pentatomidae sp.,Hiede vivo,NO DEFINIDO                   
Animalia, ,Reduviidae sp.,Chinche,NO DEFINIDO                   
Animalia, ,Cicadidae sp.,Chicharra,NO DEFINIDO                   
