reino,nombre científico,Nombe Completo,vernacular_name,Estatus_RD,Localizado_RD
Plantae,Eupatorium microstemon,Eupatorium microstemon,Yerba amarga,NATIVA (N)                    ,S
Plantae,Boerhavia coccinea,Boerhavia coccinea,,NATIVA (N)                    ,S
Plantae,Bromus catharticus,Bromus catharticus,,NATIVA (N)                    ,S
Plantae,Calliandra haematomma,Calliandra haematomma,Oreganillo,NATIVA (N)                    ,S
Plantae,Canavalia nitida,Canavalia nitida,Mate colorado,NATIVA (N)                    ,S
Plantae,Casearia guianensis,Casearia guianensis,Caf cimarrn,NATIVA (N)                    ,S
Plantae,Chamaecrista glandulosa,Chamaecrista glandulosa,,ENDEMICA (E)                  ,S
Plantae,Chamaesyce adenoptera,Chamaesyce adenoptera,Leche de virgen,ENDEMICA (E)                  ,S
Plantae,Chrysophyllum oliviforme,Chrysophyllum oliviforme,Caimito de perro,NATIVA (N)                    ,S
Plantae,Cissus verticillata,Cissus verticillata,Bejuco caro,NATIVA (N)                    ,S
Plantae,Clusia clusioides,Clusia clusioides,,NATIVA (N)                    ,S
Plantae,Colubrina glandulosa,Colubrina glandulosa,,NATIVA (N)                    ,S
Plantae,Cordia laevigata,Cordia laevigata,Mueco,NO DEFINIDO                   ,S
Plantae,Dalea carthagenensis,Dalea carthagenensis,Absinthe,NATIVA (N)                    ,S
Plantae,Desmodium axillare,Desmodium axillare,Amor seco,NATIVA (N)                    ,S
Plantae,Dichaea swartzii,Dichaea swartzii,,NATIVA (N)                    ,S
Plantae,Dieffenbachia seguine,Dieffenbachia seguine,Matapuerco,NATIVA (N)                    ,S
Plantae,Duranta erecta,Duranta erecta,,NATIVA (N)                    ,S
Plantae,Eltroplectris calcarata,Eltroplectris calcarata,,NATIVA (N)                    ,S
Plantae,Encyclia gravida,Encyclia gravida,,NATIVA (N)                    ,S
Plantae,Epidendrum rigidum,Epidendrum rigidum,,NATIVA (N)                    ,S
Plantae,Epidendrum strobiliferum,Epidendrum strobiliferum,,NATIVA (N)                    ,S
Plantae,Eriobotrya japonica,Eriobotrya japonica,,COLONIZADORA (C)              ,S
Plantae,Eupatorium sinuatum,Eupatorium sinuatum,,NATIVA (N)                    ,S
Plantae,Galactia dubia,Galactia dubia,,NATIVA (N)                    ,S
Plantae,Gliricidia sepium,Gliricidia sepium,Pin cubano,NO DEFINIDO                   ,S
Plantae,Gymnanthes lucida,Gymnanthes lucida,Palo de tabaco,NATIVA (N)                    ,S
Plantae,Heliconia bihai,Heliconia bihai,,NATIVA (N)                    ,S
Plantae,Helicteres jamaicensis,Helicteres jamaicensis,,NATIVA (N)                    ,S
Plantae,Homalium racemosum,Homalium racemosum,Corazn de paloma,NATIVA (N)                    ,S
Plantae,Hypericum hypericoides,Hypericum hypericoides,,NATIVA (N)                    ,S
Plantae,Inga vera,Inga vera,Guama,NATIVA (N)                    ,S
Plantae,Jacquinia stenophylla,Jacquinia stenophylla,,NATIVA (N)                    ,S
Plantae,Kalanchoe daigremontiana,Kalanchoe daigremontiana,"Mal padre, tope tope",NO DEFINIDO                   ,S
Plantae,Lobelia robusta,Lobelia robusta,,NATIVA (N)                    ,S
Plantae,Lonchocarpus domingensis,Lonchocarpus domingensis,Ann de majagua,NATIVA (N)                    ,S
Plantae,Lyonia truncata,Lyonia truncata,,ENDEMICA (E)                  ,S
Plantae,Macroptilium lathyroides,Macroptilium lathyroides,Ajai o habichuelita,NO DEFINIDO                   ,S
Plantae,Malvastrum corchorifolium,Malvastrum corchorifolium,,NATIVA (N)                    ,S
Plantae,Malvastrum coromandelianum,Malvastrum coromandelianum,,NATIVA (N)                    ,S
Plantae,Melochia tomentosa,Melochia tomentosa,,NATIVA (N)                    ,S
Plantae,Mimosa diplotricha,Mimosa diplotricha,,ENDEMICA (E)                  ,S
Plantae,Mucuna urens,Mucuna urens,,NO DEFINIDO                   ,S
Plantae,Myrsine coriacea,Myrsine coriacea,,NATIVA (N)                    ,S
Plantae,Olyra latifolia,Olyra latifolia,,NATIVA (N)                    ,S
Plantae,Ocimum gratissimum,Ocimum gratissimum,,NATIVA (N)                    ,S
Plantae,Ocotea patens,Ocotea patens,,NATIVA (N)                    ,S
Plantae,Oncidium meirax,Oncidium meirax,,NATIVA (N)                    ,S
Plantae,Oxalis eggersii,Oxalis eggersii,,NATIVA (N)                    ,S
Plantae,Oxandra lanceolata,Oxandra lanceolata,Yaya,NATIVA (N)                    ,S
Plantae,Pavonia paludicola,Pavonia paludicola,,NO DEFINIDO                   ,S
Plantae,Pharus lappulaceus,Pharus lappulaceus,,NATIVA (N)                    ,S
Plantae,Phoradendron mucronatum,Phoradendron mucronatum,,NATIVA (N)                    ,S
Plantae,Piper aduncum,Piper aduncum,Guayuyo,NATIVA (N)                    ,S
Plantae,Pleurothallis domingensis,Pleurothallis domingensis,,NATIVA (N)                    ,S
Plantae,Pleurothallis obovata,Pleurothallis obovata,,NATIVA (N)                    ,S
Plantae,Pleurothallis pubescens,Pleurothallis pubescens,,NATIVA (N)                    ,S
Plantae,Polygala crucianelloides,Polygala crucianelloides,,NATIVA (N)                    ,S
Plantae,Portulaca rubricaulis,Portulaca rubricaulis,,NATIVA (N)                    ,S
Plantae,Priva lappulacea,Priva lappulacea,"Pega pega, Amor seco",NATIVA (N)                    ,S
Plantae,Prunus occidentalis,Prunus occidentalis,,NATIVA (N)                    ,S
Plantae,Psiguria pedata,Psiguria pedata,,NATIVA (N)                    ,S
Plantae,Psychotria domingensis,Psychotria domingensis,,NATIVA (N)                    ,S
Plantae,Pueraria phaseoloides,Pueraria phaseoloides,,NO DEFINIDO                   ,S
Plantae,Renealmia jamaicensis,Renealmia jamaicensis,,NATIVA (N)                    ,S
Plantae,Rhynchosia reticulata,Rhynchosia reticulata,Bejuco de sabana,NATIVA (N)                    ,S
Plantae,Rubus niveus,Rubus niveus,,INTRODUCIDA (I)               ,S
Plantae,Sabal causiarum,Sabal causiarum,Palma cana,NATIVA (N)                    ,S
Plantae,Senna mexicana,Senna mexicana,,NATIVA (N)                    ,S
Plantae,Senna occidentalis,Senna occidentalis,Brusca,NO DEFINIDO                   ,S
Plantae,Senna spectabilis,Senna spectabilis,,NATIVA (N)                    ,S
Plantae,Sideroxylon foetidissimum,Sideroxylon foetidissimum,Caya amarilla,NO DEFINIDO                   ,S
Plantae,Sideroxylon obovatum,Sideroxylon obovatum,Sideroxylon obovatum,NATIVA (N)                    ,S
Plantae,Spermacoce verticillata,Spermacoce verticillata,,NATIVA (N)                    ,S
Plantae,Spiranthes torta,Spiranthes torta,,NATIVA (N)                    ,S
Plantae,Stigmaphyllon emarginatum,Stigmaphyllon emarginatum,Bejuco tumba gente,NATIVA (N)                    ,S
Plantae,Tillandsia tenuifolia,Tillandsia tenuifolia,,NATIVA (N)                    ,S
Plantae,Tillandsia variabilis,Tillandsia variabilis,,NATIVA (N)                    ,S
Plantae,Torralbasia cuneifolia,Torralbasia cuneifolia,,NATIVA (N)                    ,S
Plantae,Trichostigma octandrum,Trichostigma octandrum,Bejuco de pabelln,NATIVA (N)                    ,S
Plantae,Turpinia occidentalis,Turpinia occidentalis,,NO DEFINIDO                   ,S
Plantae,Uncinia hamata,Uncinia hamata,,NATIVA (N)                    ,S
Plantae,Carapa guianensis,Carapa guianensis,Cabirma santa,NO DEFINIDO                   ,S
Plantae,Ocimum campechianum,Ocimum campechianum,,NATIVA (N)                    ,S
Plantae,Rhytidophyllum auriculatum,Rhytidophyllum auriculatum,,NATIVA (N)                    ,S
Plantae,Acacia vogeliana,Acacia vogeliana,,NATIVA (N)                    ,S
Plantae,Anacheilium cochleatum,Anacheilium cochleatum,,NATIVA (N)                    ,S
Plantae,Andropogon gracilis,Andropogon gracilis,,NATIVA (N)                    ,S
Plantae,Ateramnus lucidus,Ateramnus lucidus,,NATIVA (N)                    ,S
Plantae,Buchnera elongata,Buchnera elongata,,NATIVA (N)                    ,S
Plantae,Calophyllum calaba,Calophyllum calaba,"Mara, Bara",NATIVA (N)                    ,S
Plantae,Campelia zanonia,Campelia zanonia,,NATIVA (N)                    ,S
Plantae,Consolea moniliformis,Consolea moniliformis,Alpargata,NATIVA (N)                    ,S
Plantae,Eugenia maleolens,Eugenia maleolens,,NATIVA (N)                    ,S
Plantae,Ficus laevigata,Ficus laevigata,Higo cimarrn,NATIVA (N)                    ,S
Plantae,Ficus retusa,Ficus retusa,,NO DEFINIDO                   ,S
Plantae,Ficus sintenisii,Ficus sintenisii,,NATIVA (N)                    ,S
Plantae,Gnaphalium domingense,Gnaphalium domingense,Artemisa blanca,NATIVA (N)                    ,S
Plantae,Gnaphalium indicum,Gnaphalium indicum,,NATIVA (N)                    ,S
Plantae,Hemidiodia ocymifolia,Hemidiodia ocymifolia,,NATIVA (N)                    ,S
Plantae,Malpighia punicifolia,Malpighia punicifolia,Cereza,NO DEFINIDO                   ,S
Plantae,Pelexia adnata,Pelexia adnata,,NATIVA (N)                    ,S
Plantae,Peperomia myrtillus,Peperomia myrtillus,,NATIVA (N)                    ,S
Plantae,Phytolacca icosandra,Phytolacca icosandra,,NATIVA (N)                    ,S
Plantae,Pseudophoenix vinifera,Pseudophoenix vinifera,Cacheo,ENDEMICA (E)                  ,S
Plantae,Rajania ovata,Rajania ovata,,NATIVA (N)                    ,S
Plantae,Samanea saman,Samanea saman,Samn,NO DEFINIDO                   ,S
Plantae,Samyda dodecandra,Samyda dodecandra,Derrienga chiva,NATIVA (N)                    ,S
Plantae,Setaria macrostachya,Setaria macrostachya,,NATIVA (N)                    ,S
Plantae,Vaccinium racemosum,Vaccinium racemosum,,NATIVA (N)                    ,S
Plantae,Vanilla vanilla,Vanilla vanilla,Vainilla,NATIVA (N)                    ,S
Plantae,Zapoteca portoricensis,Zapoteca portoricensis,,NATIVA (N)                    ,S
Plantae,Amyris diatrypa,Amyris diatrypa,,NATIVA (N)                    ,S
Plantae,Broughtonia domingensis,Broughtonia domingensis,Flor de mayo,ENDEMICA (E)                  ,S
Plantae,Cecropia schreberiana,Cecropia schreberiana,Yagrumo,NO DEFINIDO                   ,S
Plantae,Epidendrum carpophorum,Epidendrum carpophorum,,NATIVA (N)                    ,S
Plantae,Melinis repens,Melinis repens,,NATIVA (N)                    ,S
Plantae,Poitea paucifolia,Poitea paucifolia,Tabacuelo morado,NATIVA (N)                    ,S
Plantae,Solanum americanum,Solanum americanum,,NATIVA (N)                    ,S
Plantae,Tephrosia purpurea,Tephrosia purpurea,Indigo,NATIVA (N)                    ,S
Plantae,Tillandsia tenuifolia,Tillandsia tenuifolia,,NATIVA (N)                    ,S
Plantae,Tolumnia variegata,Tolumnia variegata,Orqudea,NATIVA (N)                    ,S
Plantae,Capsicum frutescens,Capsicum frutescens,,NATIVA (N)                    ,S
Plantae,Andropogon gracilis,Andropogon gracilis,,NATIVA (N)                    ,S
Plantae,Bothriochloa pertusa,Bothriochloa pertusa,,NO DEFINIDO                   ,S
Plantae,Setaria geniculata,Setaria geniculata,,NATIVA (N)                    ,S
Plantae,Setaria geniculata,Setaria geniculata,,NATIVA (N)                    ,S
Plantae,Indigofera jamaicensis,Indigofera jamaicensis,Indigofera,NO DEFINIDO                   ,S
Plantae,Solandra longiflora,Solandra longiflora,,NATIVA (N)                    ,S
Plantae,Datura metel,Datura metel,,NATIVA (N)                    ,S
Plantae,Solanum crotonoides,Solanum crotonoides,,NATIVA (N)                    ,S
Plantae,Solanum microphyllum,Solanum microphyllum,,ENDEMICA (E)                  ,S
Plantae,Solanum umbellatum,Solanum umbellatum,,NATIVA (N)                    ,S
Plantae,Calophyllum calaba,Calophyllum calaba,"Mara, Bara",NATIVA (N)                    ,S
Plantae,Coccoloba buchii,Coccoloba buchii,Uva cimarrona,ENDEMICA (E)                  ,S
Plantae,Manilkara valenzuelana,Manilkara valenzuelana,,NATIVA (N)                    ,S
Plantae,Zanthoxylum tragodes,Zanthoxylum tragodes,,ENDEMICA (E)                  ,S
Plantae,Gesneria ekmanii,Gesneria ekmanii,,ENDEMICA (E)                  ,S
Plantae,Columnea domingensis,Columnea domingensis,,ENDEMICA (E)                  ,S
Plantae,Bellonia spinosa,Bellonia spinosa,,ENDEMICA (E)                  ,S
Plantae,Rhytidophyllum asperum,Rhytidophyllum asperum,,ENDEMICA (E)                  ,S
Plantae,Rhytidophyllum vernicosum,Rhytidophyllum vernicosum,,ENDEMICA (E)                  ,S
Plantae,Gesneria saxatilis,Gesneria saxatilis,,ENDEMICA (E)                  ,S
Plantae,Alloplectus sanguineus,Alloplectus sanguineus,,ENDEMICA (E)                  ,S
Plantae,Duranta arida,Duranta arida,,ENDEMICA (E)                  ,S
Plantae, ,Plumeria subsessilis,Aleli,ENDEMICA (E)                  ,S
Plantae, ,Roystonea hispaniola,Palma real,ENDEMICA (E)                  ,S
Plantae, ,Sabal domingensis,Palma cana,ENDEMICA (E)                  ,S
Plantae,Cordia curassavica,Cordia curassavica,Juan prieto,NATIVA (N)                    ,S
Plantae, ,Tabebuia berterii,Roble,ENDEMICA (E)                  ,S
Plantae, ,Tournefortia hirsutissima,Bejuco de nigua,NO DEFINIDO                   ,S
Plantae, ,Crossopetalum decussatum,,ENDEMICA (E)                  ,S
Plantae, ,Capparis ferruginea,Frijolito,NO DEFINIDO                   ,S
Plantae, ,Schaefferia ephedroides,Pinito,ENDEMICA (E)                  ,S
Plantae, ,Ateleia gummifera,Goma,NATIVA (N)                    ,S
Plantae, ,Exostema nitens,Cafetillo,ENDEMICA (E)                  ,S
Plantae, ,Swietenia mahagoni,Caoba,NATIVA (N)                    ,S
Plantae,Garrya fadyenii,Garrya fadyenii,,NATIVA (N)                    ,S
Plantae, ,Agave antillarum,Maguey de bestia,ENDEMICA (E)                  ,S
Plantae, ,Dendrocereus undatus,Cayuco,NATIVA (N)                    ,S
Plantae, ,Harrisia,Yasa,NO DEFINIDO                   ,S
Plantae, ,Adiatum,Helecho,NO DEFINIDO                   ,S
Plantae, ,Phyllostylon rhamnoides,Baitoa,NO DEFINIDO                   ,S
Plantae,Acalypha chamaedrifolia,Acalypha chamaedrifolia,,NATIVA (N)                    ,S
Plantae,Chamaesyce berteroana,Chamaesyce berteroana,Yerba lechera,NATIVA (N)                    ,S
Plantae, ,Coccoloba nodosa,Uva cimarrona,NO DEFINIDO                   ,S
Plantae, ,Guettarda,Guettarda,ENDEMICA (E)                  ,S
Plantae, ,Scolosanthus triacanthus,Scolosanthus triacanthus,ENDEMICA (E)                  ,S
Plantae, ,Dodonaea viscosa,Palo de rey,ENDEMICA (E)                  ,S
Plantae, ,Thouinia palantinervis,Vara de caballo,ENDEMICA (E)                  ,S
Plantae, ,Thouinia trifoliata,Cucharita,NATIVA (N)                    ,S
Plantae, ,Apassalus diffusa,,ENDEMICA (E)                  ,S
Plantae,Galium hypocarpium,Galium hypocarpium,,NATIVA (N)                    ,S
Plantae, ,Agave intermixta,Maguey,ENDEMICA (E)                  ,S
Plantae, ,Bomarea edulis,Lirio,NATIVA (N)                    ,S
Plantae, ,Comocladia ekmaniana,Guao,ENDEMICA (E)                  ,S
Plantae, ,Metopium brownei,,NATIVA (N)                    ,S
Plantae, ,Annona bicolor,Guanabanita,ENDEMICA (E)                  ,S
Plantae, ,Ciclospermun leptophyllum,,INTRODUCIDA (I)               ,S
Plantae, ,Daucos carota,Zanahoria,NO DEFINIDO                   ,S
Plantae, ,Angadenia lindeniana,,NATIVA (N)                    ,S
Plantae, ,Asketanthera ekmaniana,,ENDEMICA (E)                  ,S
Plantae, ,Aspidosperma cuspa,Bois amer blanc,ENDEMICA (E)                  ,S
Plantae, ,Cameraria linearifolia,,ENDEMICA (E)                  ,S
Plantae, ,Mesechites angustifolia,Bejuco pepecaba,ENDEMICA (E)                  ,S
Plantae, ,Pentalinon luteun,Bejuco ahoga vaca,NATIVA (N)                    ,S
Plantae,Prescottia stachyodes,Prescottia stachyodes,,NATIVA (N)                    ,S
Plantae, ,Vallesia montana,,NATIVA (N)                    ,S
Plantae, ,Iles berteroi,Palo blaco,NATIVA (N)                    ,S
Plantae,Cyclopogon miradorensis,Cyclopogon miradorensis,,NATIVA (N)                    ,S
Plantae,Hapalorchis lineata,Hapalorchis lineata,,NATIVA (N)                    ,S
Plantae,Liparis viridipurpurea,Liparis viridipurpurea,,NATIVA (N)                    ,S
Plantae,Epidendrum difforme,Epidendrum difforme,,NATIVA (N)                    ,S
Plantae, ,Ilex fuertesiana,Palo blaco,ENDEMICA (E)                  ,S
Plantae,Epidendrum neoporpax,Epidendrum neoporpax,,NATIVA (N)                    ,S
Plantae,Epidendrum repens,Epidendrum repens,,NATIVA (N)                    ,S
Plantae, ,Ilex microwrightioides,,ENDEMICA (E)                  ,S
Plantae, ,Ilex tuerckheimii,Palo blaco,ENDEMICA (E)                  ,S
Plantae, ,Didymopanax tremulus,Palo de viento,ENDEMICA (E)                  ,S
Plantae, ,Coccothrinax scoparia,,ENDEMICA (E)                  ,S
Plantae, ,Haitiella ekmanii,Guanito,ENDEMICA (E)                  ,S
Plantae, ,Reinhardtia paiewonskiana,Coquito,ENDEMICA (E)                  ,S
Plantae,Clidemia angustilamina,Clidemia angustilamina,,ENDEMICA (E)                  ,S
Plantae, ,Aristolochia chasmema,,ENDEMICA (E)                  ,S
Plantae, ,Asclepia nivea,Algodn de seda,NATIVA (N)                    ,S
Plantae, ,Cynanchum gonavense,,ENDEMICA (E)                  ,S
Plantae, ,Cynanchum leptocladum,,NATIVA (N)                    ,S
Plantae, ,Marsdenia clausa,Curamaguey,NATIVA (N)                    ,S
Plantae, ,Marsdenia linearis,Cucharita,NATIVA (N)                    ,S
Plantae, ,Baccharis haitiensis,,ENDEMICA (E)                  ,S
Plantae, ,Chaptalia angustata,,ENDEMICA (E)                  ,S
Plantae, ,Erechtites valerianaefolia,Yerba de canela,NATIVA (N)                    ,S
Plantae, ,Eupatorium dictyoneurum,,ENDEMICA (E)                  ,S
Plantae, ,Eupatorium gabbii,,ENDEMICA (E)                  ,S
Plantae, ,Eupatorium havanensis HAVANESE ?,,ENDEMICA (E)                  ,S
Plantae, ,Eupatorium illitium,,ENDEMICA (E)                  ,S
Plantae, ,Eupatorium sophiaefolium,,ENDEMICA (E)                  ,S
Plantae, ,Gnaphalium eggersii,,ENDEMICA (E)                  ,S
Plantae, ,Gochnatia sp.,,ENDEMICA (E)                  ,S
Plantae, ,Herodotia mikanioides,,ENDEMICA (E)                  ,S
Plantae,Trema lamarckiana,Trema lamarckiana,,NATIVA (N)                    ,S
Plantae,Trema micrantha,Trema micrantha,Memiso de paloma,NATIVA (N)                    ,S
Plantae,Guaiacum officinale,Guaiacum officinale,Guayacn,NATIVA (N)                    ,S
Plantae, ,Lantanopsis hispidula,,ENDEMICA (E)                  ,S
Plantae, ,Latuca canadensis,,NATIVA (N)                    ,S
Plantae, ,Liabum selleanum,,ENDEMICA (E)                  ,S
Plantae, ,Mikania papillosa,Bejuco blanco,ENDEMICA (E)                  ,S
Plantae, ,Mikania tripartita,,ENDEMICA (E)                  ,S
Plantae, ,Narvalina domingensis,,ENDEMICA (E)                  ,S
Plantae, ,Pinillosia berterii,,NATIVA (N)                    ,S
Plantae, ,Proustia crassinervis,,ENDEMICA (E)                  ,S
Plantae, ,Senecio barahonensis,,ENDEMICA (E)                  ,S
Plantae, ,Senecio buchii,,ENDEMICA (E)                  ,S
Plantae, ,Senecio domingensis,,ENDEMICA (E)                  ,S
Plantae, ,Senecio haitianensis,,ENDEMICA (E)                  ,S
Plantae, ,Senecio hotteanum,,ENDEMICA (E)                  ,S
Plantae, ,Senecio lucens,,ENDEMICA (E)                  ,S
Plantae, ,Senecio picardae,,ENDEMICA (E)                  ,S
Plantae, ,Senecio trinervus,,NATIVA (N)                    ,S
Plantae, ,Siegesbeckia orientalis,,NATIVA (N)                    ,S
Plantae, ,Vernonia fruticosa,Guatabo de chivo,NATIVA (N)                    ,S
Plantae, ,Vernonia stenophylla,,ENDEMICA (E)                  ,S
Plantae, ,Wedelia ehrenbergii,Clavelillo,NATIVA (N)                    ,S
Plantae,Leptocereus weingartianus,Leptocereus weingartianus,Cayuco,ENDEMICA (E)                  ,S
Plantae,Opuntia taylorii,Opuntia taylorii,Muslo de pollo,ENDEMICA (E)                  ,S
Plantae, ,Wulffia buccata,,NATIVA (N)                    ,S
Plantae, ,Begonia domingensis,Cocaria,ENDEMICA (E)                  ,S
Plantae, ,Catalpa brevipes,,ENDEMICA (E)                  ,S
Plantae,Melocactus lemairei,Melocactus lemairei,Melon espinoso,ENDEMICA (E)                  ,S
Plantae, ,Ekmanianthe longiflora,Roble de Puerto Rico,NATIVA (N)                    ,S
Plantae, ,Dictitis lactiflora,,NATIVA (N)                    ,S
Plantae, ,Jacaranda ekmani,,ENDEMICA (E)                  ,S
Plantae, ,Tabebuia berterii,Aceituno,ENDEMICA (E)                  ,S
Plantae, ,Tabebuia densifolia,,ENDEMICA (E)                  ,S
Plantae, ,Tabebuia domingensis,,ENDEMICA (E)                  ,S
Plantae, ,Tabebuia microphylla,,ENDEMICA (E)                  ,S
Plantae, ,Tabebuia ostenfeldii,,ENDEMICA (E)                  ,S
Plantae, ,Tecoma stans,Saco amarillo,NATIVA (N)                    ,S
Plantae, ,Bourreria brachypoda,,ENDEMICA (E)                  ,S
Plantae, ,Bourreria divaricata,,ENDEMICA (E)                  ,S
Plantae, ,Cordia dependens,,ENDEMICA (E)                  ,S
Plantae, ,Cordia ignea,,ENDEMICA (E)                  ,S
Plantae, ,Cordia salvifolia,Coquillo,ENDEMICA (E)                  ,S
Plantae, ,Cordia selleana,,ENDEMICA (E)                  ,S
Plantae,Pilosocereus polygonus,Pilosocereus polygonus,Cayuco,ENDEMICA (E)                  ,S
Plantae, ,Tournefortia glabra,Nigua hedionda,NATIVA (N)                    ,S
Plantae, ,Tournefortia selleana,,ENDEMICA (E)                  ,S
Plantae,Pereskia portulacifolia,Pereskia portulacifolia,,ENDEMICA (E)                  ,S
Plantae, ,Tournefortia stenophylla,,NATIVA (N)                    ,S
Plantae, ,Cardamine africana,,NO DEFINIDO                   ,S
Plantae, ,Guzmania ekmanii,,ENDEMICA (E)                  ,S
Plantae, ,Pitcairnia elizabethae,,ENDEMICA (E)                  ,S
Plantae, ,Tillandsia baliophylla,,NATIVA (N)                    ,S
Plantae, ,Tillandsia caribaea,,NATIVA (N)                    ,S
Plantae, ,Tillandsia compacta,,NATIVA (N)                    ,S
Plantae, ,Tillandsia hotteana,,ENDEMICA (E)                  ,S
Plantae,Neoabbottia paniculata,Neoabbottia paniculata,,ENDEMICA (E)                  ,S
Plantae, ,Tillandsia moscosoi,,ENDEMICA (E)                  ,S
Plantae, ,Tillandsia schiedeana,,NATIVA (N)                    ,S
Plantae, ,Vriesea incurva,,NATIVA (N)                    ,S
Plantae, ,Bursera brunea,,ENDEMICA (E)                  ,S
Plantae, ,Bursera spinicens,,ENDEMICA (E)                  ,S
Plantae, ,Buxus glomerata,,NATIVA (N)                    ,S
Plantae, ,Opuntia caribea,,NATIVA (N)                    ,S
Plantae, ,Arcoa gonavensis,,ENDEMICA (E)                  ,S
Plantae, ,Caesalpinia decapetata,,INTRODUCIDA (I)               ,S
Plantae, ,Caesalpinia domingensis,,ENDEMICA (E)                  ,S
Plantae, ,Caesalpinia glandulosa,,ENDEMICA (E)                  ,S
Plantae, ,Caesalpinia sphaerosperma,,ENDEMICA (E)                  ,S
Plantae, ,Chamaecrista cf. nictitans,,NATIVA (N)                    ,S
Plantae, ,Senna angustisiliqua,,ENDEMICA (E)                  ,S
Plantae, ,Senna domingensis,,ENDEMICA (E)                  ,S
Plantae, ,Cannella winterana,,NATIVA (N)                    ,S
Plantae, ,Capparis cynophallophora,,NATIVA (N)                    ,S
Plantae, ,Elaodendron xylocarpa,,NATIVA (N)                    ,S
Plantae, ,Maytenus buxifolia,,NATIVA (N)                    ,S
Plantae, ,Maytenus domingensis,,ENDEMICA (E)                  ,S
Plantae, ,Hedyosmum domingense,,ENDEMICA (E)                  ,S
Plantae, ,Rheedia aristata,,NATIVA (N)                    ,S
Plantae, ,Evolvulus arbuscula,,NATIVA (N)                    ,S
Plantae, ,Evolvulus convuloides,,NATIVA (N)                    ,S
Plantae, ,Ipomoea desrousseauii,,ENDEMICA (E)                  ,S
Plantae, ,Ipomoea furcyensis,,ENDEMICA (E)                  ,S
Plantae, ,Ipomoea viridiflora,,ENDEMICA (E)                  ,S
Plantae, ,Turbina racemosa,,NATIVA (N)                    ,S
Plantae, ,Turbina rudolphii,,NATIVA (N)                    ,S
Plantae, ,Cucurmis anguria,,NATIVA (N)                    ,S
Plantae, ,Penelopeia suburceolata,,NATIVA (N)                    ,S
Plantae,Harrisia nashii,Harrisia nashii,,ENDEMICA (E)                  ,S
Plantae, ,Weinmannia pinnta,,NATIVA (N)                    ,S
Plantae, ,Juniperus ekmanii,,ENDEMICA (E)                  ,S
Plantae, ,Bulbostylis,,NATIVA (N)                    ,S
Plantae, ,Bulbostylis,,NATIVA (N)                    ,S
Plantae, ,Carex scabrella,,NATIVA (N)                    ,S
Plantae, ,Rhynchospora domingensis,,NATIVA (N)                    ,S
Plantae, ,Diospyros,,NO DEFINIDO                   ,S
Plantae, ,Lyonia microcarpa,,ENDEMICA (E)                  ,S
Plantae, ,Erythroxylum minutifolium,,NATIVA (N)                    ,S
Plantae, ,Erythroxylum rotundifolia,,NATIVA (N)                    ,S
Plantae, ,Acalypha cuspidata,,NATIVA (N)                    ,S
Plantae, ,Acalypha pendula,,ENDEMICA (E)                  ,S
Plantae, ,Acidocroton horridus,,ENDEMICA (E)                  ,S
Plantae, ,Acidocotron litoralis,,ENDEMICA (E)                  ,S
Plantae, ,Acidoton varifolius,,ENDEMICA (E)                  ,S
Plantae, ,Acidoton microphyllus,Genarito,ENDEMICA (E)                  ,S
Plantae, ,Bernardia tenuifolia,,ENDEMICA (E)                  ,S
Plantae, ,Chamasyce hypericifolia,Yerba lechera,NATIVA (N)                    ,S
Plantae, ,Chascotheca neopeltandra,,NATIVA (N)                    ,S
Plantae, ,Cnidoscolus acrandus,Pringa leche,ENDEMICA (E)                  ,S
Plantae, ,Croton azuensis,,ENDEMICA (E)                  ,S
Plantae, ,Croton ciliato-glanduliferus,Palo de berraco,NATIVA (N)                    ,S
Plantae, ,Croton coronatus,Palo de berraco,ENDEMICA (E)                  ,S
Plantae, ,Croton poitaei,Palo de berraco,ENDEMICA (E)                  ,S
Plantae, ,Drypetes sapium,,NATIVA (N)                    ,S
Plantae, ,Euphorbia tuerckheimii,,ENDEMICA (E)                  ,S
Plantae, ,Euphorbia umbrosa,,ENDEMICA (E)                  ,S
Plantae, ,Gymnanthes pallens,,NATIVA (N)                    ,S
Plantae, ,Hippomane horrida,,ENDEMICA (E)                  ,S
Plantae, ,Jatropha gossipifolia,Tua-tua,NATIVA (N)                    ,S
Plantae, ,Jatropha hernandifolia,,NATIVA (N)                    ,S
Plantae, ,Phyllanthus buchii,,ENDEMICA (E)                  ,S
Plantae, ,Phyllanthus maleolens,,ENDEMICA (E)                  ,S
Plantae, ,Sapium sp.,,NO DEFINIDO                   ,S
Plantae, ,Sapium buchii,Bois brulant,ENDEMICA (E)                  ,S
Plantae, ,Savia erythroxyloides,,NATIVA (N)                    ,S
Plantae, ,Sebastiana picardae,,ENDEMICA (E)                  ,S
Plantae, ,Brya buxyfolia,Granadillo,NATIVA (N)                    ,S
Plantae, ,Erythrina buchii,Immortel,ENDEMICA (E)                  ,S
Plantae, ,Galactia dictyophylla,,ENDEMICA (E)                  ,S
Plantae, ,Galactia cf.,,ENDEMICA (E)                  ,S
Plantae, ,Galactia rudolphioides,,ENDEMICA (E)                  ,S
Plantae, ,Lonchocarpus pycnophyllus,,ENDEMICA (E)                  ,S
Plantae, ,Meicago lupulina,,NATIVA (N)                    ,S
