reino,nombre científico,Nombe Completo,vernacular_name,Estatus_RD,Localizado_RD
Plantae,Pouteria dictyoneura,Pouteria dictyoneura,,ENDEMICA (E)                  ,S
Plantae,Anagallis arvensis,Anagallis arvensis,,NATIVA (N)                    ,S
Plantae,Fragaria vesca,Fragaria vesca,,NATIVA (N)                    ,S
Plantae,Malus pumila,Malus pumila,,INTRODUCIDA (I)               ,S
Plantae,Centrosema virginianum,Centrosema virginianum,Consuelo de los caminantes,NATIVA (N)                    ,S
Plantae,Acacia macracantha,Acacia macracantha,,NATIVA (N)                    ,S
Plantae,Bauhinia divaricata,Bauhinia divaricata,,ENDEMICA (E)                  ,S
Plantae,Delonix regia,Delonix regia,Flamboyn,NO DEFINIDO                   ,S
Plantae,Galactia striata,Galactia striata,Guatavito,NATIVA (N)                    ,S
Plantae,Pithecellobium dulce,Pithecellobium dulce,,NO DEFINIDO                   ,S
Plantae,Stylosanthes hamata,Stylosanthes hamata,Pela huevos,NATIVA (N)                    ,S
Plantae,Tamarindus indica,Tamarindus indica,Tamarindo,NO DEFINIDO                   ,S
Plantae,Tephrosia purpurea,Tephrosia purpurea,,NATIVA (N)                    ,S
Plantae,Eugenia ligustrina,Eugenia ligustrina,"Escobn, Arraijn",NATIVA (N)                    ,S
Plantae,Eugenia monticola,Eugenia monticola,Escobn blanco,NATIVA (N)                    ,S
Plantae,Eugenia pseudopsidium,Eugenia pseudopsidium,,NATIVA (N)                    ,S
Plantae,Eugenia rhombea,Eugenia rhombea,,NATIVA (N)                    ,S
Plantae,Myrcianthes fragrans,Myrcianthes fragrans,,NATIVA (N)                    ,S
Plantae,Pimenta racemosa,Pimenta racemosa,,NATIVA (N)                    ,S
Plantae,Pseudanamomis umbellulifera,Pseudanamomis umbellulifera,,NO DEFINIDO                   ,S
Plantae,Gomidesia lindeniana,Gomidesia lindeniana,,NATIVA (N)                    ,S
Plantae,Myrcia splendens,Myrcia splendens,,NATIVA (N)                    ,S
Plantae,Miconia laevigata,Miconia laevigata,Jau jau,NO DEFINIDO                   ,S
Plantae,Miconia tetrastoma,Miconia tetrastoma,,NATIVA (N)                    ,S
Plantae,Mouriri helleri,Mouriri helleri,,ENDEMICA (E)                  ,S
Plantae,Tetrazygia elaeagnoides,Tetrazygia elaeagnoides,,ENDEMICA (E)                  ,S
Plantae,Bucida buceras,Bucida buceras,,NATIVA (N)                    ,S
Plantae,Buchenavia capitata,Buchenavia capitata,,NATIVA (N)                    ,S
Plantae,Conocarpus erectus,Conocarpus erectus,,NATIVA (N)                    ,S
Plantae,Rhizophora mangle,Rhizophora mangle,,NO DEFINIDO                   ,S
